customer_id,age,account_age_years,country,income,risk_segment,avg_transaction_amount,preferred_device_risk,fraud_history
1,56,10.8,TN,36367.1,medium,64.62,0.1597522805298321,0
2,69,3.8,GB,27478.6,medium,42.88,0.07859214003309603,0
3,46,2.9,FR,36073.71,medium,38.9,0.23175284278034916,0
4,32,2.6,CA,29364.97,medium,108.07,0.17038118003827374,0
5,60,4.2,DZ,31696.44,medium,84.61,0.27852309804224556,0
6,25,8.1,IT,15910.1,medium,39.63,0.03922824667793262,0
7,78,3.9,DE,30658.12,medium,7.1,0.13381022838132017,0
8,38,5.4,FR,35679.99,medium,7.36,0.2004199377329229,0
9,56,6.7,FR,35116.91,medium,97.03,0.2042728130505956,0
10,75,3.7,FR,10687.21,high,45.22,0.2694036405476722,0
11,36,2.8,FR,31443.91,medium,39.42,0.1085411419606456,0
12,40,10.5,TN,8341.66,high,68.47,0.15319897149970008,0
13,28,2.7,MA,32605.15,medium,117.47,0.25073496608803697,1
14,28,3.1,ES,19479.94,medium,59.47,0.0,0
15,41,23.2,CA,55584.64,low,86.34,0.23849352518922928,0
16,70,0.0,FR,31788.65,medium,86.96,0.2763948615694922,0
17,53,1.0,FR,42017.46,low,26.43,0.06663392773217602,0
18,57,2.4,TN,61663.09,low,19.22,0.1684977051714987,0
19,41,13.5,IT,17738.97,medium,96.92,0.34926598165071476,0
20,20,0.4,MA,36535.12,medium,28.41,0.2659828297731148,0
21,39,0.0,FR,12211.33,high,140.19,0.24469722729708665,0
22,70,0.3,TN,35173.46,medium,4.33,0.2990959315124487,1
23,19,0.5,DE,56485.64,low,3.6,0.3804545117612503,0
24,41,0.2,IT,20581.75,medium,157.04,0.20185340698183718,0
25,61,3.3,ES,16710.69,medium,62.73,0.15928109957779754,0
26,47,4.3,FR,28632.39,medium,28.64,0.2988538410973932,0
27,55,1.6,IT,60687.26,low,84.4,0.18125468640504902,0
28,19,2.5,FR,41565.58,low,66.94,0.10719813419810567,0
29,77,0.5,FR,16426.28,medium,45.45,0.14599337470127574,0
30,38,2.1,MA,51825.91,low,6.25,0.2312329582058381,0
31,50,3.7,ES,8000.0,high,100.34,0.15504041975891192,0
