transaction_id,customer_id,bin,card_type,issuer_country,issuer_risk,amount,transaction_country,country_risk,device_risk,new_device,geo_anomaly,hour,velocity_24h,is_fraud,age,account_age_years,country,income,risk_segment,avg_transaction_amount,preferred_device_risk,fraud_history
1,1861,5100,Mastercard,FR,0.15,6.88,FR,0.1,0.2,0,0,2,1,0,57,3.6,FR,33861.45,medium,73.84,0.0697633680935397,0
2,1090,4929,Visa,FR,0.1,8.17,DZ,0.4,0.0,0,0,1,3,0,47,3.3,US,23722.93,medium,18.93,0.1504115683827094,0
3,1851,4929,Visa,FR,0.1,49.29,FR,0.1,0.32,0,0,20,0,0,60,1.7,GB,24599.53,medium,20.34,0.3977126520521058,1
4,836,4929,Visa,FR,0.1,128.64,ES,0.15,0.14,0,0,22,0,0,24,0.5,DZ,25928.16,medium,158.15,0.2444833732992054,0
5,59,3792,Amex,US,0.3,22.98,FR,0.1,0.36,0,0,13,5,0,38,8.9,US,30810.31,medium,74.46,0.1693182372139219,0
6,731,4929,Visa,FR,0.1,39.69,GB,0.2,0.0,0,0,12,1,0,75,10.0,US,23187.47,medium,12.61,0.2823701297377111,0
7,1522,6011,Discover,US,0.4,7.09,FR,0.1,0.42,0,0,15,2,0,64,0.5,US,39855.9,medium,25.3,0.0136780066261518,0
8,1397,5100,Mastercard,FR,0.15,19.29,FR,0.1,0.3,0,0,12,0,0,39,26.4,DE,30802.84,medium,8.19,0.2681354142266269,0
9,266,5200,Mastercard,DE,0.2,68.14,FR,0.1,0.24,0,0,16,3,0,58,11.3,FR,8000.0,high,52.67,0.1203379120187675,0
10,1677,3792,Amex,US,0.3,6.68,TN,0.35,0.12,0,0,11,0,0,56,6.7,DE,32026.08,medium,4.95,0.1735206398245385,1
11,236,5200,Mastercard,DE,0.2,7.47,FR,0.1,0.2,0,0,17,3,0,56,5.3,FR,39767.42,medium,5.16,0.3985637686225776,0
12,898,5200,Mastercard,DE,0.2,81.1,FR,0.1,0.36,0,0,16,3,0,42,6.1,FR,8000.0,high,114.81,0.2358497380814365,0
13,218,3792,Amex,US,0.3,110.31,ES,0.15,0.12,0,0,3,2,0,59,0.0,CA,18768.25,medium,65.46,0.2138958589281719,0
14,1551,6011,Discover,US,0.4,8.09,FR,0.1,0.23,0,0,13,4,0,75,8.6,FR,30394.92,medium,4.47,0.2391064500215808,0
15,1838,3792,Amex,US,0.3,29.39,DZ,0.4,0.2,0,0,15,0,0,24,9.3,FR,8000.0,high,65.75,0.1045431885221165,0
16,1465,4929,Visa,FR,0.1,44.12,MA,0.4,0.28,0,0,10,2,0,46,3.0,FR,33223.44,medium,86.27,0.0944806526603848,0
17,1674,5100,Mastercard,FR,0.15,151.72,IT,0.2,0.04,0,0,23,1,0,25,2.9,FR,28636.08,medium,69.09,0.0502240067196634,0
18,1430,3792,Amex,US,0.3,2.72,FR,0.1,0.47,0,0,3,1,0,55,7.9,DZ,38134.48,medium,3.66,0.145072966387973,0
19,1768,5200,Mastercard,DE,0.2,275.08,US,0.3,0.39,0,0,9,3,0,61,2.2,MA,30151.24,medium,136.38,0.1646193333485411,1
20,1625,3792,Amex,US,0.3,2.94,DE,0.1,0.0,0,0,14,3,0,24,2.3,TN,32469.12,medium,2.98,0.2126424408124737,0
21,975,5100,Mastercard,FR,0.15,27.8,FR,0.1,0.0,0,0,5,1,0,63,0.9,ES,15433.53,medium,30.88,0.1961775798842936,0
22,589,4539,Visa,FR,0.1,1.48,ES,0.15,0.46,1,0,11,2,0,47,0.5,TN,41636.51,low,47.14,0.1338200154718994,0
23,1672,6011,Discover,US,0.4,10.62,US,0.3,0.26,0,0,5,1,0,21,2.3,DE,25171.3,medium,32.62,0.5051711319918626,0
24,917,5200,Mastercard,DE,0.2,195.76,CA,0.1,0.0,0,0,2,2,0,54,2.3,FR,18162.88,medium,280.75,0.0870252181995392,0
25,1493,4539,Visa,FR,0.1,46.98,FR,0.1,0.18,0,0,0,2,0,32,3.8,CA,29871.48,medium,53.08,0.1675367145639123,0
26,918,4539,Visa,FR,0.1,16.99,DE,0.1,0.21,0,0,7,3,0,53,0.3,FR,35184.2,medium,17.07,0.2037437068793706,0
27,1134,5100,Mastercard,FR,0.15,67.22,IT,0.2,0.35,0,0,15,2,0,33,6.7,IT,14951.79,high,53.37,0.0173238006006425,0
28,353,6011,Discover,US,0.4,1.45,IT,0.2,0.39,0,0,21,4,0,48,4.6,FR,39817.39,medium,1.36,0.2066848249641028,0
29,1837,3792,Amex,US,0.3,110.6,CA,0.1,0.27,0,0,4,3,0,70,11.7,ES,32660.69,medium,58.59,0.1984587471391738,0
30,91,4539,Visa,FR,0.1,23.44,FR,0.1,0.22,0,0,6,3,0,23,13.4,IT,29967.5,medium,66.94,0.2192331364955668,0
31,1960,4929,Visa,FR,0.1,65.09,ES,0.15,0.18,0,0,5,1,0,27,1.3,CA,20738.16,medium,63.44,0.058446607071182,0
32,1906,3792,Amex,US,0.3,1.23,MA,0.4,0.46,0,0,23,2,0,59,3.3,IT,26360.57,medium,23.45,0.0319845952241039,0
33,1942,6011,Discover,US,0.4,2.49,FR,0.1,0.19,0,1,20,0,0,40,7.6,DE,23238.72,medium,3.81,0.3425125186587039,0
34,1438,5200,Mastercard,DE,0.2,22.81,IT,0.2,0.33,0,0,10,4,0,64,4.5,DZ,36270.39,medium,73.1,0.2394228392518798,0
35,702,3792,Amex,US,0.3,82.92,CA,0.1,0.09,0,0,9,2,0,50,2.6,US,30307.4,medium,172.94,0.141131700228837,0
36,73,5100,Mastercard,FR,0.15,91.26,DE,0.1,0.06,0,0,8,0,0,37,3.6,MA,41522.69,low,208.36,0.1754093735716495,0
37,685,5100,Mastercard,FR,0.15,1.32,MA,0.4,0.28,1,0,20,2,0,49,2.8,CA,43410.74,low,21.23,0.3156709852726435,0
