transaction_id,customer_id,bin,card_type,issuer_country,issuer_risk,amount,transaction_country,country_risk,device_risk,new_device,geo_anomaly,hour,velocity_24h,is_fraud
1,1861,5100,Mastercard,FR,0.15,6.88,FR,0.1,0.2,0,0,2,1,0
2,1090,4929,Visa,FR,0.1,8.17,DZ,0.4,0.0,0,0,1,3,0
3,1851,4929,Visa,FR,0.1,49.29,FR,0.1,0.32,0,0,20,0,0
4,836,4929,Visa,FR,0.1,128.64,ES,0.15,0.14,0,0,22,0,0
5,59,3792,Amex,US,0.3,22.98,FR,0.1,0.36,0,0,13,5,0
6,731,4929,Visa,FR,0.1,39.69,GB,0.2,0.0,0,0,12,1,0
7,1522,6011,Discover,US,0.4,7.09,FR,0.1,0.42,0,0,15,2,0
8,1397,5100,Mastercard,FR,0.15,19.29,FR,0.1,0.3,0,0,12,0,0
9,266,5200,Mastercard,DE,0.2,68.14,FR,0.1,0.24,0,0,16,3,0
10,1677,3792,Amex,US,0.3,6.68,TN,0.35,0.12,0,0,11,0,0
11,236,5200,Mastercard,DE,0.2,7.47,FR,0.1,0.2,0,0,17,3,0
12,898,5200,Mastercard,DE,0.2,81.1,FR,0.1,0.36,0,0,16,3,0
13,218,3792,Amex,US,0.3,110.31,ES,0.15,0.12,0,0,3,2,0
14,1551,6011,Discover,US,0.4,8.09,FR,0.1,0.23,0,0,13,4,0
15,1838,3792,Amex,US,0.3,29.39,DZ,0.4,0.2,0,0,15,0,0
16,1465,4929,Visa,FR,0.1,44.12,MA,0.4,0.28,0,0,10,2,0
17,1674,5100,Mastercard,FR,0.15,151.72,IT,0.2,0.04,0,0,23,1,0
18,1430,3792,Amex,US,0.3,2.72,FR,0.1,0.47,0,0,3,1,0
19,1768,5200,Mastercard,DE,0.2,275.08,US,0.3,0.39,0,0,9,3,0
20,1625,3792,Amex,US,0.3,2.94,DE,0.1,0.0,0,0,14,3,0
21,975,5100,Mastercard,FR,0.15,27.8,FR,0.1,0.0,0,0,5,1,0
22,589,4539,Visa,FR,0.1,1.48,ES,0.15,0.46,1,0,11,2,0
23,1672,6011,Discover,US,0.4,10.62,US,0.3,0.26,0,0,5,1,0
24,917,5200,Mastercard,DE,0.2,195.76,CA,0.1,0.0,0,0,2,2,0
25,1493,4539,Visa,FR,0.1,46.98,FR,0.1,0.18,0,0,0,2,0
26,918,4539,Visa,FR,0.1,16.99,DE,0.1,0.21,0,0,7,3,0
27,1134,5100,Mastercard,FR,0.15,67.22,IT,0.2,0.35,0,0,15,2,0
28,353,6011,Discover,US,0.4,1.45,IT,0.2,0.39,0,0,21,4,0
